"gene_ID","slope","p_value","ENV_fun","gene_name","gene_taxa","Study"
"narb superkingdom:Bacteria",0.509118541033435,0.000219562938091467,"NH4.N","narb","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",0.369626574033869,0.00972019439026655,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"gdh superkingdom:Bacteria",-0.70223621363439,2.66293620617651e-08,"NH4.N","gdh","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.581849761181068,1.44084352803595e-05,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nitrate_reductase superkingdom:Eukaryota",-0.433857539315449,0.0023135636308346,"NH4.N","nitrate_reductase","superkingdom:Eukaryota","Altitude (HKV)"
"nasa superkingdom:Bacteria",0.36908380373426,0.00983612473326741,"NH4.N","nasa","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",-0.569474598349978,2.39795192990047e-05,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"norb superkingdom:Bacteria",0.510095527572731,0.000212518591965405,"NH4.N","norb","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",-0.357034303082935,0.0127344541913598,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"nirk superkingdom:Bacteria",-0.464719930525402,0.000875781014776474,"NH4.N","nirk","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",0.345667591736047,0.018624910086898,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"norb superkingdom:Bacteria",0.461571862787668,0.00095939407701057,"NH4.N","norb","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",-0.562744246634824,3.13661306446383e-05,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"gdh superkingdom:Bacteria",-0.451801997394703,0.00126627769750338,"NH4.N","gdh","superkingdom:Bacteria","Altitude (HKV)"
"nosz superkingdom:Bacteria",0.624837168910117,2.06513740715731e-06,"NH4.N","nosz","superkingdom:Bacteria","Altitude (HKV)"
"nirk superkingdom:Bacteria",-0.381241858445506,0.00750648259530113,"NH4.N","nirk","superkingdom:Bacteria","Altitude (HKV)"
"nirs superkingdom:Bacteria",0.52887537993921,0.000111341820116637,"NH4.N","nirs","superkingdom:Bacteria","Altitude (HKV)"
"nosz superkingdom:Bacteria",0.575119409465914,1.90564807248189e-05,"NH4.N","nosz","superkingdom:Bacteria","Altitude (HKV)"
"norb superkingdom:Bacteria",-0.406794425087108,0.00830440702009998,"NH4.N","norb","superkingdom:Bacteria","Altitude (HKV)"
"napa superkingdom:Bacteria",-0.522253582283977,0.000140451008256222,"NH4.N","napa","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.343899261832392,0.0166975084083469,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nrfa superkingdom:Bacteria",0.581306990881459,1.47403974994355e-05,"NH4.N","nrfa","superkingdom:Bacteria","Altitude (HKV)"
"napa superkingdom:Bacteria",0.640143291359097,9.61564209015204e-07,"NH4.N","napa","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",0.443768996960486,0.00158127995426493,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",-0.561115935735996,3.34423021287927e-05,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",0.352149370386452,0.0141024064975782,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"nirk superkingdom:Bacteria",-0.49174989144594,0.000385789140138414,"NH4.N","nirk","superkingdom:Bacteria","Altitude (HKV)"
"nirs superkingdom:Bacteria",-0.458491895701198,0.00174816583274217,"NH4.N","nirs","superkingdom:Bacteria","Altitude (HKV)"
"nrfa superkingdom:Bacteria",-0.389383412939644,0.00622856249229709,"NH4.N","nrfa","superkingdom:Bacteria","Altitude (HKV)"
"urec superkingdom:Bacteria",-0.454081632653061,0.00118774078885362,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",0.398284845853235,0.00505210499767564,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"napa superkingdom:Bacteria",-0.546678245766392,5.81889004030575e-05,"NH4.N","napa","superkingdom:Bacteria","Altitude (HKV)"
"ammonium_transporter unknown_taxa",-0.646982197134173,6.74027336468347e-07,"NH4.N","ammonium_transporter","unknown_taxa","Altitude (HKV)"
"urec superkingdom:Bacteria",0.519943622269204,0.000297671596081019,"NH4.N","urec","superkingdom:Bacteria","Altitude (HKV)"
"cnorb superkingdom:Bacteria",0.758094357076781,6.79334172072832e-10,"NH4.N","cnorb","superkingdom:Bacteria","Altitude (HKV)"
"amoa superkingdom:Bacteria",0.573925314806774,2.00127794841428e-05,"NH4.N","amoa","superkingdom:Bacteria","Altitude (HKV)"
"nifh superkingdom:Bacteria",0.430742509769865,0.00224177301995808,"NH4.N","nifh","superkingdom:Bacteria","Altitude (HKV)"
"nirs superkingdom:Bacteria",0.576422058184976,1.80613349821182e-05,"NH4.N","nirs","superkingdom:Bacteria","Altitude (HKV)"
"nirk superkingdom:Bacteria",0.482848458532349,0.000509153328943079,"NH4.N","nirk","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.372448979591837,0.0091361472944337,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"nirs superkingdom:Bacteria",0.386452453321754,0.0066649138064687,"NH4.N","nirs","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.340316977854972,0.0179445943637876,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
"narg superkingdom:Bacteria",-0.636886669561442,1.135352233052e-06,"NH4.N","narg","superkingdom:Bacteria","Altitude (HKV)"
