Index,group1,group2,group1.obs,group2.obs,w.value.W,p.wtest,p.count,w.value.noOut.W,p.wtest.noOut,p.count.noOut
17,NST,1,3,0.76390673548531,0.703387003688397,8504,1.2859660545621e-16,0.166356239584354,8296,8.65774142404963e-17,0.161850878965448
18,NST,1,4,0.76390673548531,0.574017499633996,10189,8.60006311179762e-35,0.00117635525928831,10189,8.60006311179762e-35,0.00117635525928831
19,NST,1,5,0.76390673548531,0.789971715093537,3352,1.28892641843735e-05,0.3285952357612,3352,1.28892641843735e-05,0.3285952357612
20,NST,1,6,0.76390673548531,0.713595764350847,8367,1.88904610162488e-15,0.179786295461229,8263,7.73234661782132e-16,0.173617361736174
21,NST,2,3,0.758544581830404,0.703387003688397,8373,1.68308985275597e-15,0.179198117831585,8169,1.12557622893663e-15,0.174681753889675
22,NST,2,4,0.758544581830404,0.574017499633996,10184,9.97506683813683e-35,0.00166650328399177,10184,9.97506683813683e-35,0.00166650328399177
23,NST,2,5,0.758544581830404,0.789971715093537,2793,1.39981843101229e-08,0.273796686599353,2793,1.39981843101229e-08,0.273796686599353
24,NST,2,6,0.758544581830404,0.713595764350847,8190,5.18915489000689e-14,0.197137535535732,8089,2.20986824000976e-14,0.191019101910191
25,NST,3,4,0.703387003688397,0.574017499633996,10012,1.50212523236045e-32,0.0185275953337908,9756,1.30244773208063e-32,0.0143463325924429
26,NST,3,5,0.703387003688397,0.789971715093537,876,1.37436203207675e-24,0.0858739339280463,801,8.80870046181471e-25,0.0809254394827238
27,NST,3,6,0.703387003688397,0.713595764350847,5030,0.433092016618584,0.493088912851681,4830,0.479568449072089,0.497835497835498
28,NST,4,5,0.574017499633996,0.789971715093537,9,7.86725317513623e-35,0.000882266444466229,9,7.86725317513623e-35,0.000882266444466229
29,NST,4,6,0.574017499633996,0.713595764350847,181,1.19413500951019e-32,0.0177433584942653,148,1.03227742684393e-32,0.0148014801480148
30,NST,5,6,0.789971715093537,0.713595764350847,9193,3.41128424874339e-23,0.0988138417802176,9078,1.08832539060915e-23,0.0921092109210921
31,MST,1,2,0.720618195267706,0.714507108686326,5519,0.157152332400709,0.45897461033232,5519,0.157152332400709,0.45897461033232
32,MST,1,3,0.720618195267706,0.647855833586736,9208,2.38014490458427e-23,0.0973433977061072,8987,1.38517861488137e-23,0.0920387957163063
33,MST,1,4,0.720618195267706,0.532837501587927,10195,7.19651292038812e-35,0.000588177629644153,10195,7.19651292038812e-35,0.000588177629644153
34,MST,1,5,0.720618195267706,0.732959290491265,4058,0.00606474205709172,0.397804136849328,4058,0.00606474205709172,0.397804136849328
35,MST,1,6,0.720618195267706,0.658757621989226,8965,6.91643376584681e-21,0.121164591706695,8857,2.15828392999054e-21,0.114211421142114
36,MST,2,3,0.714507108686326,0.647855833586736,9015,2.21336065747938e-21,0.116263111459661,8799,1.29885952500184e-21,0.111032531824611
37,MST,2,4,0.714507108686326,0.532837501587927,10189,8.60006311179762e-35,0.00117635525928831,10189,8.60006311179762e-35,0.00117635525928831
38,MST,2,5,0.714507108686326,0.732959290491265,3555,9.99267682029282e-05,0.34849524556416,3555,9.99267682029282e-05,0.34849524556416
39,MST,2,6,0.714507108686326,0.658757621989226,8786,3.63382288577472e-19,0.138711890991079,8685,1.08485143697921e-19,0.131413141314131
40,MST,3,4,0.647855833586736,0.532837501587927,9960,6.61530475426036e-32,0.0236251347907068,9708,5.28935370597608e-32,0.0191957971307335
41,MST,3,5,0.647855833586736,0.732959290491265,750,5.83652032074682e-26,0.0735222037055191,681,4.01361693280896e-26,0.0688017781369974
42,MST,3,6,0.647855833586736,0.658757621989226,4940,0.350059426967555,0.484266248407019,4740,0.391205532698745,0.488559059987631
43,MST,4,5,0.532837501587927,0.732959290491265,9,7.86725317513623e-35,0.000882266444466229,9,7.86725317513623e-35,0.000882266444466229
44,MST,4,6,0.532837501587927,0.658757621989226,229,4.70511607689187e-32,0.0224487795314185,191,3.59837930363393e-32,0.0191019101910191
45,MST,5,6,0.732959290491265,0.658757621989226,9253,8.02222793280329e-24,0.0929320654837761,9142,2.22866466656965e-24,0.0857085708570857
