"","row","col","Dist","Method","Metric","row.Site","col.Site","Comparison","Study"
"112","GM4","HJ13",0.315568625012909,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"113","GM5","HJ13",0.286604017412217,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"114","GM6","HJ13",0.232287754713451,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"115","GM7","HJ13",0.257269379910709,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"116","GM8","HJ13",0.415667428776247,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"117","GM9","HJ13",0.361437564518122,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"118","HJ10","HJ13",0.062739298871331,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"119","HJ11","HJ13",0.405523020583045,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"120","HJ12","HJ13",0.104874888511583,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"121","GM1","HJ14",0.201577787524197,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"122","GM10","HJ14",0.0327463434695792,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"123","GM12","HJ14",0.333351819333347,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"124","GM13","HJ14",0.195576058177091,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"125","GM14","HJ14",0.144439259723911,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"126","GM3","HJ14",0.0792859125076532,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"127","GM4","HJ14",0.0615081489109854,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"128","GM5","HJ14",0.0991090653256352,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"129","GM6","HJ14",0.160811465296972,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"130","GM7","HJ14",0.133156214678922,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"131","GM8","HJ14",0.0960730174642288,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"132","GM9","HJ14",0.0337542048090087,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"133","HJ10","HJ14",0.32716097962814,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"134","HJ11","HJ14",0.0806532078457729,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"135","HJ12","HJ14",0.282825245025471,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"136","HJ13","HJ14",0.354990936886267,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"137","GM1","HJ15",0.224894484761679,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"138","GM10","HJ15",0.372109987305773,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"139","GM12","HJ15",0.0808244734733725,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"140","GM13","HJ15",0.23019804637731,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"141","GM14","HJ15",0.276185197746788,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"142","GM3","HJ15",0.427803395844675,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"143","GM4","HJ15",0.34229643579839,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"144","GM5","HJ15",0.314501097276738,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"145","GM6","HJ15",0.262196570395985,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"146","GM7","HJ15",0.28616170392792,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"147","GM8","HJ15",0.438442812448608,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"148","GM9","HJ15",0.386320216950773,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"149","HJ10","HJ15",0.0875524729535507,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"150","HJ11","HJ15",0.428725410429922,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"151","HJ12","HJ15",0.139077335473168,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"152","HJ13","HJ15",0.0629314009641018,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"153","HJ14","HJ15",0.380093450385869,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"154","GM1","HJ2",0.0283746656569466,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"155","GM10","HJ2",0.177108295761061,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"156","GM12","HJ2",0.180389617487484,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"157","GM13","HJ2",0.0381250673647114,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"158","GM14","HJ2",0.0558319682368997,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"159","GM3","HJ2",0.250041482929421,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"160","GM4","HJ2",0.138472184904122,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"161","GM5","HJ2",0.103771346434062,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"162","GM6","HJ2",0.0434700416318017,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"163","GM7","HJ2",0.0724436549880727,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"164","GM8","HJ2",0.263983529480969,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"165","GM9","HJ2",0.195904825353733,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"166","HJ10","HJ2",0.173480831182005,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"167","HJ11","HJ2",0.251241615637113,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"168","HJ12","HJ2",0.119253845570996,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"169","HJ13","HJ2",0.206640962849248,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"170","HJ14","HJ2",0.187750947315902,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"171","HJ15","HJ2",0.237927953924881,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"172","GM1","HJ4",0.229244637664176,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"173","GM10","HJ4",0.375749095974622,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"174","GM12","HJ4",0.0851360021655923,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"175","GM13","HJ4",0.234605713767241,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"176","GM14","HJ4",0.280450559071313,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"177","GM3","HJ4",0.4312317109379,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"178","GM4","HJ4",0.346137599940348,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"179","GM5","HJ4",0.318479804099294,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"180","GM6","HJ4",0.266504418347282,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"181","GM7","HJ4",0.290449782465792,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"182","GM8","HJ4",0.441790704247681,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"183","GM9","HJ4",0.389974069208352,"Jaccard","Abundance","SF","CBF","Between-group","Altitude (SNNR)"
"184","HJ10","HJ4",0.0893959303676509,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"185","HJ11","HJ4",0.432099813764729,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"186","HJ12","HJ4",0.144082240328622,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"187","HJ13","HJ4",0.0605649775975668,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"188","HJ14","HJ4",0.38382083292431,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"189","HJ15","HJ4",0.0397948199545149,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
"190","HJ2","HJ4",0.242289481411906,"Jaccard","Abundance","CBF","CBF","Within-group","Altitude (SNNR)"
